objectid,title,format,filename,subject,description,date,publisher,streetaddress,location,latitude,longitude
item1,A Court of Thorns and Roses,image/jpeg,acotarcollector.jpg,Faeries; Magic; Transformation; Test; Retelling; Romance,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item2,A Court of Thorns and Roses,image/jpeg,acotarog.jpg,Faeries; Magic; Transformation; Test; Retelling; Romance,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item3,A Court of Thorns and Roses,image/jpeg,acotarneon.jpg,Faeries; Magic; Transformation; Test; Retelling; Romance,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item4,A Court of Mist and Fury,image/jpeg,acomafog.jpg,Faeries; Magic; Retelling; Romance; War; Training,"Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.",2016,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item5,A Court of Mist and Fury,image/jpeg,acomafneon.jpg,Faeries; Magic; Retelling; Romance; War; Training,"Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.",2016,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item6,A Court of Wings and Ruin,image/jpeg,acowarog.jpg,Faeries; Magic; Retelling; Romance; War; Training; Battle,"Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not only for Feyre, but for everything-and everyone-she holds dear.

As war bears down upon them all, Feyre endeavors to take her place amongst the High Fae of the land, balancing her struggle to master her powers-both magical and political-and her love for her court and family. Amidst these struggles, Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords, and hunt for allies in unexpected places.",2017,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item7,A Court of Wings and Ruin,image/jpeg,acowarneon.jpg,Faeries; Magic; Retelling; Romance; War; Training; Battle,"Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not only for Feyre, but for everything-and everyone-she holds dear.

As war bears down upon them all, Feyre endeavors to take her place amongst the High Fae of the land, balancing her struggle to master her powers-both magical and political-and her love for her court and family. Amidst these struggles, Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords, and hunt for allies in unexpected places.
",2017,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item8,A Court of Frost and Starlight,image/jpeg,acofasog.jpg,Faeries; Magic; Retelling; Romance,"Feyre, Rhysand, and their friends are still busy rebuilding the Night Court and the vastly altered world beyond, recovering from the war that changed everything. But Winter Solstice is finally approaching, and with it, the joy of a hard-earned reprieve.

Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, her concern for those dearest to her deepens. They have more wounds than she anticipated-scars that will have a far-reaching impact on the future of their court.",2018,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item9,A Court of Frost and Starlight,image/jpeg,acofasneon.jpg,Faeries; Magic; Retelling; Romance ,"Feyre, Rhysand, and their friends are still busy rebuilding the Night Court and the vastly altered world beyond, recovering from the war that changed everything. But Winter Solstice is finally approaching, and with it, the joy of a hard-earned reprieve.

Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, her concern for those dearest to her deepens. They have more wounds than she anticipated-scars that will have a far-reaching impact on the future of their court.",2018,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item10,A Court of Silver Flames,image/jpeg,acosfneon.jpg,Faeries; Trial; Anger; Trial; Training; Education,"Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.

The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other.

Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts.

Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.",2021,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item11,A Court of Silver Flames,image/jpeg,acosfgray.jpg,Faeries; Trial; Anger; Trial; Training; Education,"Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.

The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other.

Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts.

Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.",2021,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item12,House of Earth and Blood,image/jpeg,earthuk.jpg,Contemporary; Vampires; Faeries; Werewolves; Mystery; Disappearance,"Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths.

Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.

As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it.",2020,Bloomsbury Publishing UK,31 Bedford Avenue,"London, UK",51.518581,-0.128966
item13,House of Earth and Blood,image/jpeg,earthbn.jpg,Contemporary; Vampires; Faeries; Werewolves; Mystery; Disappearance,"Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths.

Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.

As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it.",2020,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item14,House of Earth and Blood,image/jpeg,earthog.jpg,Contemporary; Vampires; Faeries; Romance; Werewolves; Mystery; Disappearance,"Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths.

Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.

As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it.",2020,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item15,House of Sky and Breath,image/jpeg,skyuk.jpg,Contemporary; Romance; Prophecy; Vampires; Faeries; Werewolves; Mystery; Disappearance,"Bryce Quinlan and Hunt Athalar are trying to get back to normal―they may have saved Crescent City, but with so much upheaval in their lives lately, they mostly want a chance to relax. Slow down. Figure out what the future holds.

The Asteri have kept their word so far, leaving Bryce and Hunt alone. But with the rebels chipping away at the Asteri’s power, the threat the rulers pose is growing. As Bryce, Hunt, and their friends get pulled into the rebels’ plans, the choice becomes clear: stay silent while others are oppressed, or fight for what’s right. And they’ve never been very good at staying silent.",2022,Bloomsbury Publishing UK,31 Bedford Avenue,"London, UK",51.518581,-0.128966
item16,House of Sky and Breath,image/jpeg,skybn.jpg,Contemporary; Romance; Prophecy; Vampires; Faeries; Werewolves; Mystery; Disappearance,"Bryce Quinlan and Hunt Athalar are trying to get back to normal―they may have saved Crescent City, but with so much upheaval in their lives lately, they mostly want a chance to relax. Slow down. Figure out what the future holds.

The Asteri have kept their word so far, leaving Bryce and Hunt alone. But with the rebels chipping away at the Asteri’s power, the threat the rulers pose is growing. As Bryce, Hunt, and their friends get pulled into the rebels’ plans, the choice becomes clear: stay silent while others are oppressed, or fight for what’s right. And they’ve never been very good at staying silent.",2022,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item17,House of Sky and Breath,image/jpeg,skyog.jpg,Contemporary; Romance; Prophecy; Vampires; Faeries; Werewolves; Mystery; Disappearance,"Bryce Quinlan and Hunt Athalar are trying to get back to normal―they may have saved Crescent City, but with so much upheaval in their lives lately, they mostly want a chance to relax. Slow down. Figure out what the future holds.

The Asteri have kept their word so far, leaving Bryce and Hunt alone. But with the rebels chipping away at the Asteri’s power, the threat the rulers pose is growing. As Bryce, Hunt, and their friends get pulled into the rebels’ plans, the choice becomes clear: stay silent while others are oppressed, or fight for what’s right. And they’ve never been very good at staying silent.",2022,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item18,House of Flame and Shadow,image/jpeg,flamebn.jpg,Contemporary; Romance; Prophecy; Vampires; Faeries; Werewolves; Mystery; Growth; Sacrifice; Multi-Dimensional Travel; War; Battle,"Bryce Quinlan never expected to see a world other than Midgard, but now that she has, all she wants is to get back. Everything she loves is in Midgard: her family, her friends, her mate. Stranded in a strange new world, she's going to need all her wits about her to get home again. And that's no easy feat when she has no idea who to trust.

Hunt Athalar has found himself in some deep holes in his life, but this one might be the deepest of all. After a few brief months with everything he ever wanted, he's in the Asteri's dungeons again, stripped of his freedom and without a clue as to Bryce's fate. He's desperate to help her, but until he can escape the Asteri's leash, his hands are quite literally tied.",2024,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item19,House of Flame and Shadow,image/jpeg,flameog.jpg,Contemporary; Romance; Prophecy; Vampires; Faeries; Werewolves; Mystery; Growth; Sacrifice; Multi-Dimensional Travel; War; Battle,"Bryce Quinlan never expected to see a world other than Midgard, but now that she has, all she wants is to get back. Everything she loves is in Midgard: her family, her friends, her mate. Stranded in a strange new world, she's going to need all her wits about her to get home again. And that's no easy feat when she has no idea who to trust.

Hunt Athalar has found himself in some deep holes in his life, but this one might be the deepest of all. After a few brief months with everything he ever wanted, he's in the Asteri's dungeons again, stripped of his freedom and without a clue as to Bryce's fate. He's desperate to help her, but until he can escape the Asteri's leash, his hands are quite literally tied.",2024,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item20,Catwoman: Soulstealer,image/jpeg,catwoman.jpg,Superhero; Catwoman; DC; Mischief; Growth; Mystery,"Two years after escaping Gotham City's slums, Selina Kyle returns as the mysterious and wealthy Holly Vanderhees. She quickly discovers that with Batman off on a vital mission, Batwing is left to hold back the tide of notorious criminals. Gotham City is ripe for the taking.

Meanwhile, Luke Fox wants to prove he has what it takes to help people in his role as Batwing. He targets a new thief on the prowl who seems cleverer than most. She has teamed up with Poison Ivy and Harley Quinn, and together they are wreaking havoc. This Catwoman may be Batwing's undoing.",,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item21,Assassin's Blade,image/jpeg,tab.jpg,Assassin; Emotional; Heartbreak; Prequel,"Celaena Sardothien is her kingdom’s most feared assassin. Though she works for the powerful and ruthless Assassin’s Guild, Celaena yields to no one and trusts only her fellow killer for hire, Sam.

When Celaena's scheming master, Arobynn Hamel, dispatches her on missions that take her from remote islands to hostile deserts, she finds herself acting independently of his wishes—and questioning her own allegiance. Along the way, she makes friends and enemies alike, and discovers that she feels far more for Sam than just friendship. But by defying Arobynn’s orders, Celaena risks unimaginable punishment, and with Sam by her side, he is in danger, too. They will have to risk it all if they hope to escape Arobynn’s clutches—and if they fail, they’ll lose not just a chance at freedom, but their lives . . .

A prequel to Throne of Glass, this collection of five novellas offers readers a deeper look into the history of this cunning assassin and her enthralling—and deadly—world.

Included in this volume:
The Assassin and the Pirate Lord
The Assassin and the Healer
The Assassin and the Desert
The Assassin and the Underworld
The Assassin and the Empire",2014,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item22,Throne of Glass,image/jpeg,togcollector.jpg,Assassin; Test; Competition; Blunt; Magic,"In a land without magic, where the king rules with an iron hand, an assassin is summoned to the castle. She comes not to kill the king, but to win her freedom. If she defeats twenty-three killers, thieves, and warriors in a competition, she is released from prison to serve as the king's champion. Her name is Celaena Sardothien.

The Crown Prince will provoke her. The Captain of the Guard will protect her. But something evil dwells in the castle of glass—and it's there to kill. When her competitors start dying one by one, Celaena's fight for freedom becomes a fight for survival, and a desperate quest to root out the evil before it destroys her world.",2012,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item23,Throne of Glass,image/jpeg,tog.jpg,Assassin; Test; Competition; Blunt; Magic,"In a land without magic, where the king rules with an iron hand, an assassin is summoned to the castle. She comes not to kill the king, but to win her freedom. If she defeats twenty-three killers, thieves, and warriors in a competition, she is released from prison to serve as the king's champion. Her name is Celaena Sardothien.

The Crown Prince will provoke her. The Captain of the Guard will protect her. But something evil dwells in the castle of glass—and it's there to kill. When her competitors start dying one by one, Celaena's fight for freedom becomes a fight for survival, and a desperate quest to root out the evil before it destroys her world.",2012,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item24,Crown of Midnight,image/jpeg,com.jpg,Assassin; Champion; Justice; Blunt; Magic; ,"From the throne of glass rules a king with a fist of iron and a soul as black as pitch. Assassin Celaena Sardothien won a brutal contest to become his Champion. Yet Celaena is far from loyal to the crown. She hides her secret vigilantly; she knows that the man she serves is bent on evil.

Keeping up the deadly charade becomes increasingly difficult when Celaena realizes she is not the only one seeking justice. As she tries to untangle the mysteries buried deep within the glass castle, her closest relationships suffer. It seems no one is above questioning her allegiances—not the Crown Prince Dorian; not Chaol, the Captain of the Guard; not even her best friend, Nehemia, a foreign princess with a rebel heart.

Then one terrible night, the secrets they have all been keeping lead to an unspeakable tragedy. As Celaena's world shatters, she will be forced to give up the very thing most precious to her and decide once and for all where her true loyalties lie... and whom she is ultimately willing to fight for.",2013,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item25,Heir of Fire,image/jpeg,hof.jpg,Faeries; Romance; Assassin; Magic; Blunt; Training,"Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?",2014,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item26,Queen of Shadows,image/jpeg,qos.jpg,Faeries; Romance; Assassin; Magic; Blunt; Training; Transformation,"Celaena Sardothien has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight.

She will fight for her cousin, a warrior prepared to die for her. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen's triumphant return.

Everyone Aelin loves has been taken from her. Everything she holds dear is in danger. But she has the heart of a queen-and that heart beats for vengeance.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item27,Empire of Storms,image/jpeg,eos.jpg,Faeries; Romance; Assassin; Magic; Blunt; Training; Negotiations,"The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.

With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.",2016,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item28,Tower of Dawn,image/jpeg,tod.jpg,Magic; Growth; Romance; Anger; Healing; Education,"Chaol Westfall and Nesryn Faliq have arrived in the shining city of Antica to forge an alliance with the Khagan of the Southern Continent, whose vast armies are Erilea's last hope. But they have also come to Antica for another purpose: to seek healing at the famed Torre Cesme for the wounds Chaol received in Rifthold.

After enduring unspeakable horrors as a child, Yrene Towers has no desire to help the young lord from Adarlan, let alone heal him. Yet she has sworn an oath to assist those in need—and will honor it. But Lord Westfall carries shadows from his own past, and Yrene soon comes to realize they could engulf them both.

In this sweeping parallel novel to the New York Times bestselling Empire of Storms, Chaol, Nesryn, and Yrene will have to draw on every scrap of their resilience if they wish to save their friends. But while they become entangled in the political webs of the khaganate, deep in the shadows of mighty mountains where warriors soar on legendary ruks, long-awaited answers slumber. Answers that might offer their world a chance at survival—or doom them all ",2017,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item29,Kingdom of Ash,image/jpeg,koa.jpg,Battle; Faeries; Romance; Assassin; Magic; Blunt; War,"Aelin Galathynius has vowed to save her people ― but at a tremendous cost. Locked within an iron coffin by the Queen of the Fae, Aelin must draw upon her fiery will as she endures months of torture. The knowledge that yielding to Maeve will doom those she loves keeps her from breaking, but her resolve is unraveling with each passing day…

With Aelin captured, friends and allies are scattered to different fates. Some bonds will grow even deeper, while others will be severed forever. As destinies weave together at last, all must fight if Erilea is to have any hope of salvation.",2018,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952